,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,label
Candy Paint,0.633,0.765,229573,0.688,0.0,4,0.0734,-5.566,0.0841,90.01299999999999,4,0.434,0
Capsize,0.0398,0.6829999999999999,237707,0.708,0.155,5,0.6859999999999999,-6.244,0.0305,92.991,4,0.355,0
Carolina,0.0005690000000000001,0.624,189613,0.6729999999999999,1.54e-06,4,0.10400000000000001,-4.0169999999999995,0.0268,121.986,4,0.45799999999999996,0
Cash Me Outside (#CashMeOutside),0.0471,0.981,129384,0.41700000000000004,0.359,11,0.10300000000000001,-10.732000000000001,0.134,122.044,4,0.262,0
Cashin' Out,0.149,0.831,238760,0.665,0.0,1,0.0636,-3.627,0.0711,129.989,4,0.6629999999999999,0
Cecilia And The Satellite,0.0135,0.552,223880,0.8340000000000001,0.0,5,0.27,-7.082999999999999,0.0541,96.975,4,0.311,0
Celebration,0.23800000000000002,0.6679999999999999,322549,0.6779999999999999,6.29e-06,0,0.527,-8.015,0.0496,132.584,4,0.778,0
Chains,0.0225,0.764,267427,0.46799999999999997,0.0,2,0.26,-8.48,0.27399999999999997,131.026,4,0.36,0
Chainsaw,0.15,0.59,199520,0.664,0.0,2,0.0704,-4.502,0.0402,85.02799999999999,4,0.289,0
Chandelier,0.0197,0.39899999999999997,216120,0.787,6.07e-05,1,0.0685,-2.88,0.0499,117.089,5,0.5720000000000001,0
Chantaje,0.187,0.852,195840,0.773,3.05e-05,8,0.159,-2.9210000000000003,0.0776,102.03399999999999,4,0.907,0
Chasing The Sun,0.25,0.634,198800,0.7290000000000001,0.0,7,0.483,-6.15,0.0984,128.075,4,0.6509999999999999,0
Cheap Thrills,0.0472,0.628,211667,0.698,0.00143,6,0.0907,-5.608,0.105,89.976,4,0.732,0
Cheerleader,0.146,0.777,181827,0.6629999999999999,1.52e-05,4,0.174,-6.117000000000001,0.0305,118.016,4,0.614,0
Cheyenne,0.0126,0.5539999999999999,215107,0.768,7.13e-06,6,0.122,-5.812,0.127,99.679,4,0.324,0
Chill Bill,0.0312,0.8859999999999999,177184,0.42700000000000005,0.00099,6,0.0906,-10.027999999999999,0.145,108.03399999999999,4,0.23,0
Chillin' It,0.511,0.5760000000000001,196747,0.8490000000000001,3.8900000000000004e-05,9,0.109,-3.057,0.0386,137.982,4,0.6659999999999999,0
Chocolate,0.061,0.795,186067,0.523,0.0,1,0.0914,-7.165,0.0423,133.024,4,0.855,0
Chun-Li,0.307,0.643,191606,0.7659999999999999,1.3800000000000002e-05,6,0.107,-4.788,0.384,97.09200000000001,4,0.46299999999999997,0
Church Bells,0.226,0.575,193333,0.8440000000000001,0.0,3,0.0538,-1.7719999999999998,0.0633,87.007,4,0.542,0
